|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/action/deletefile  |    |    |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps/(vmtmp)/action/vms  |    |   virtualmachines (*b)  (*r)   |
|  GET  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps  |    |   virtualmachinetemplates (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps  |   virtualmachinetemplate (*b)  (*r)   |   virtualmachinetemplate (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps  |   virtualmachinetemplatepersistent (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps  |   virtualmachinetemplaterequest (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/ents/(ent)/dcrepos/(dcrepo)/vmtmps  |   templatedefinition (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachine (*b)  (*r)   |
|  DELETE  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |    |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachineflat (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachine (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachine (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnode (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnode (*b)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |    |   virtualmachinewithnodeextended (*b)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachine (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnode (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnodeextended (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)  |   virtualmachinewithnodeextended (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/state  |   virtualmachinestate (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/state  |    |   virtualmachinestate (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/undeploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/instance  |   virtualmachineinstance (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)/action/continue  |    |    |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)/action/continue  |   text/xmltext/xml text/plaintext/plain  |    |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks/(id)/action/ack  |    |    |
|  GET  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)//tasks  |    |   tasks (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/reset  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/deploy  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/vdcs/(vdc)/vapps/(vapp)/vms/(vm)/action/deploy  |   virtualmachinetask (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
