|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/storage/disks/(disk)  |    |   harddisk (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/storage/disks/(disk)  |    |   acceptedrequest (*b)  (*r)   |
|  POST  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/metrics  |   custommetric (*b)  (*r)   |   custommetric (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/metrics  |    |   metricsmetadata (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)/metrics  |    |   metrics (*b)  (*r)   |
|  PUT  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)  |   virtualmachinetemplate (*b)  (*r)   |   virtualmachinetemplate (*b)  (*r)   |
|  DELETE  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)  |    |    |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)  |    |   virtualmachinetemplate (*b)  (*r)   |
|  POST  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)/action/deletefile  |    |    |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)/action/virtualmachines  |    |   virtualmachines (*b)  (*r)   |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)//tasks  |    |   tasks (*b)  (*r)   |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)/action/instances  |    |   virtualmachinetemplates (*b)  (*r)   |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)//tasks/(id)  |    |   taskextended (*b)  (*r)   |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates/(vmtmp)//tasks/(id)  |    |   task (*b)  (*r)   |
|  GET  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates  |    |   virtualmachinetemplates (*b)  (*r)   |
|  POST  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates  |   virtualmachinetemplate (*b)  (*r)   |   virtualmachinetemplate (*b)  (*r)   |
|  POST  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates  |   virtualmachinetemplatepersistent (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates  |   virtualmachinetemplaterequest (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  POST  |  /admin/enterprises/(ent)/datacenterrepositories/(dcrepo)/virtualmachinetemplates  |   templatedefinition (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnode (*b)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnodeextended (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachinewithnodeextended (*b)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachine (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachine (*b)   |   acceptedrequest (*b)  (*r)   |
|  PUT  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |   virtualmachinewithnode (*b)  (*r)   |   acceptedrequest (*b)  (*r)   |
|  DELETE  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |    |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachineflat (*b)  (*r)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachine (*b)   |
|  GET  |  /cloud/virtualdatacenters/(vdc)/virtualappliances/(vapp)/virtualmachines/(vm)  |    |   virtualmachine (*b)   |
