Name	ServerURL	CloudURL	ServerID	CloudID
Public cloud improvements	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376192/Public+cloud+improvements	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311376192/Public+cloud+improvements	311376192	311376192
Public cloud integrations	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371033/Public+cloud+integrations	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371033/Public+cloud+integrations	311371033	311371033
Public cloud price list synchronization	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372469/Public+cloud+price+list+synchronization	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372469/Public+cloud+price+list+synchronization	311372469	311372469
Public cloud providers	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375339/Public+cloud+providers	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311375339/Public+cloud+providers	311375339	311375339
Public cloud storage	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371942/Public+cloud+storage	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311371942/Public+cloud+storage	311371942	311371942
Public cloud temporary page	https://abiquo.atlassian.net/wiki/spaces/doc/pages/330530826/Public+cloud+temporary+page	https://abiquo.atlassian.net/wiki/spaces/doc/pages/330530826/Public+cloud+temporary+page	330530826	330530826
RabbitMQ TLS guide	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372968/RabbitMQ+TLS+guide	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311372968/RabbitMQ+TLS+guide	311372968	311372968
Recommended datastore tiers for VM templates	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311363048/Recommended+datastore+tiers+for+VM+templates	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311363048/Recommended+datastore+tiers+for+VM+templates	311363048	311363048
Reconfigure a virtual machine to add a NIC via API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374201/Reconfigure+a+virtual+machine+to+add+a+NIC+via+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374201/Reconfigure+a+virtual+machine+to+add+a+NIC+via+API	311374201	311374201
Reconfigure a virtual machine to add a hard disk via the API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367933/Reconfigure+a+virtual+machine+to+add+a+hard+disk+via+the+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367933/Reconfigure+a+virtual+machine+to+add+a+hard+disk+via+the+API	311367933	311367933
Reconfigure a virtual machine to remove a hard disk via the API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373984/Reconfigure+a+virtual+machine+to+remove+a+hard+disk+via+the+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373984/Reconfigure+a+virtual+machine+to+remove+a+hard+disk+via+the+API	311373984	311373984
Reconfigure virtual machine volumes via API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374211/Reconfigure+virtual+machine+volumes+via+API	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311374211/Reconfigure+virtual+machine+volumes+via+API	311374211	311374211
Release Notes for Abiquo 4.4.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369862/Release+Notes+for+Abiquo+4.4.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369862/Release+Notes+for+Abiquo+4.4.0	311369862	311369862
Release notes	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373032/Release+notes	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311373032/Release+notes	311373032	311373032
Release notes archive	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367462/Release+notes+archive	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311367462/Release+notes+archive	311367462	311367462
Release notes for Abiquo 4.2	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369867/Release+notes+for+Abiquo+4.2	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369867/Release+notes+for+Abiquo+4.2	311369867	311369867
Release notes for Abiquo 4.5.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369886/Release+notes+for+Abiquo+4.5.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311369886/Release+notes+for+Abiquo+4.5.0	311369886	311369886
Release notes for Abiquo 6.0.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368351/Release+notes+for+Abiquo+6.0.0	https://abiquo.atlassian.net/wiki/spaces/doc/pages/311368351/Release+notes+for+Abiquo+6.0.0	311368351	311368351
Release notes for Abiquo 6.0.1	https://abiquo.atlassian.net/wiki/spaces/doc/pages/315195393/Release+notes+for+Abiquo+6.0.1	https://abiquo.atlassian.net/wiki/spaces/doc/pages/315195393/Release+notes+for+Abiquo+6.0.1	315195393	315195393
Release notes for Abiquo 6.0.2	https://abiquo.atlassian.net/wiki/spaces/doc/pages/326598693/Release+notes+for+Abiquo+6.0.2	https://abiquo.atlassian.net/wiki/spaces/doc/pages/326598693/Release+notes+for+Abiquo+6.0.2	326598693	326598693
